latitude(deg);longitude(deg);height(m);Q;ns;sdn(m);sde(m);sdu(m);sdne(m);sdeu(m);sdun(m);age(s);ratio
40018377820;-105253884825;15914308;1;16;0.0054;0.0053;0.0103;0.0006;-0.0021;-0.0019;0.39;11.3
40018373924;-105253896609;15914885;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0019;0.59;11.5
40018370834;-105253908809;15915338;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0020;0.79;11.7
40018368335;-105253921529;15915808;1;16;0.0055;0.0053;0.0105;0.0005;-0.0021;-0.0020;0.99;11.8
40018366321;-105253934786;15916096;1;16;0.0054;0.0053;0.0103;0.0006;-0.0021;-0.0019;0.19;12.0
40018364661;-105253948705;15916477;1;16;0.0054;0.0053;0.0103;0.0006;-0.0021;-0.0019;0.39;12.2
40018363275;-105253963178;15916727;1;15;0.0055;0.0053;0.0104;0.0009;-0.0021;-0.0018;0.59;12.3
40018362487;-105253978294;15917211;1;15;0.0055;0.0054;0.0104;0.0009;-0.0021;-0.0019;0.79;12.5
40018361925;-105253993947;15917483;1;14;0.0063;0.0054;0.0111;0.0018;-0.0012;0.0027;0.99;30.2
40018361819;-105254010104;15917671;1;14;0.0064;0.0055;0.0113;0.0018;-0.0011;0.0029;1.19;30.4
40018362055;-105254026819;15917935;1;14;0.0063;0.0054;0.0111;0.0018;-0.0012;0.0029;0.39;30.6
40018362536;-105254044026;15918140;1;12;0.0079;0.0054;0.0114;0.0016;-0.0013;0.0045;0.59;21.8
40018362967;-105254061749;15918307;1;12;0.0080;0.0054;0.0115;0.0016;-0.0013;0.0046;0.79;21.8
40018363506;-105254080039;15918542;1;12;0.0080;0.0055;0.0116;0.0016;-0.0013;0.0046;0.99;21.8
40018364044;-105254098751;15918901;1;12;0.0079;0.0054;0.0114;0.0016;-0.0013;0.0046;0.19;21.8
40018364614;-105254117620;15919252;1;12;0.0079;0.0054;0.0114;0.0016;-0.0013;0.0046;0.39;21.8
40018365144;-105254136304;15919308;1;12;0.0079;0.0054;0.0115;0.0016;-0.0013;0.0046;0.59;21.7
40018365649;-105254154980;15919539;1;12;0.0080;0.0054;0.0115;0.0016;-0.0013;0.0046;0.79;21.7
40018366069;-105254173643;15919854;1;12;0.0080;0.0055;0.0116;0.0016;-0.0013;0.0046;0.99;21.7
40018366524;-105254191866;15920238;1;12;0.0081;0.0055;0.0116;0.0016;-0.0013;0.0046;1.19;21.7
40018366725;-105254209120;15920320;1;12;0.0103;0.0062;0.0144;-0.0042;-0.0053;0.0089;0.39;28.9
40018366760;-105254225140;15920246;1;12;0.0099;0.0063;0.0151;-0.0041;-0.0056;0.0090;0.59;28.8
40018366874;-105254239729;15920339;1;12;0.0092;0.0062;0.0149;-0.0037;-0.0054;0.0084;0.79;28.8
40018367063;-105254252970;15920472;1;12;0.0088;0.0062;0.0146;-0.0034;-0.0052;0.0078;0.99;28.8
40018367235;-105254265722;15920555;1;13;0.0085;0.0061;0.0141;-0.0032;-0.0050;0.0074;0.19;28.8
40018367494;-105254278380;15920697;1;13;0.0082;0.0061;0.0139;-0.0031;-0.0049;0.0070;0.39;28.8
40018367689;-105254291012;15920759;1;13;0.0081;0.0061;0.0137;-0.0031;-0.0048;0.0068;0.59;28.8
40018367972;-105254303499;15920875;1;13;0.0080;0.0061;0.0137;-0.0030;-0.0048;0.0066;0.79;28.8
40018368331;-105254315951;15921071;1;13;0.0079;0.0061;0.0137;-0.0030;-0.0048;0.0065;0.99;28.7
40018368580;-105254328335;15921273;1;14;0.0078;0.0060;0.0135;-0.0029;-0.0047;0.0064;0.19;28.7
40018368906;-105254340715;15921382;1;14;0.0075;0.0058;0.0131;-0.0023;-0.0042;0.0059;0.39;28.7
40018369377;-105254353102;15921406;1;15;0.0073;0.0056;0.0127;-0.0016;-0.0036;0.0053;0.59;28.7
40018369745;-105254365617;15921479;1;15;0.0071;0.0056;0.0124;-0.0013;-0.0032;0.0049;0.79;28.7
40018370283;-105254378292;15921593;1;15;0.0070;0.0056;0.0122;-0.0011;-0.0029;0.0046;0.99;28.7
40018370774;-105254391261;15921707;1;15;0.0068;0.0055;0.0119;-0.0009;-0.0027;0.0044;0.19;28.7
40018371242;-105254404369;15921955;1;15;0.0068;0.0055;0.0117;-0.0007;-0.0026;0.0042;0.39;28.7
40018371493;-105254417995;15922253;1;15;0.0067;0.0055;0.0117;-0.0004;-0.0025;0.0041;0.59;28.8
40018372053;-105254432298;15922293;1;14;0.0078;0.0055;0.0122;-0.0017;-0.0019;0.0018;0.79;33.7
40018372356;-105254446677;15922277;1;14;0.0079;0.0055;0.0123;-0.0017;-0.0017;0.0008;0.99;33.7
40018372611;-105254461642;15922204;1;14;0.0078;0.0055;0.0121;-0.0017;-0.0017;0.0007;0.19;33.7
40018372519;-105254476962;15922279;1;14;0.0078;0.0055;0.0121;-0.0016;-0.0017;0.0003;0.39;33.7
40018372163;-105254492658;15922303;1;14;0.0078;0.0055;0.0121;-0.0016;-0.0016;-0.0003;0.59;34.0
40018372097;-105254509333;15922507;1;14;0.0078;0.0055;0.0122;-0.0016;-0.0016;-0.0006;0.79;34.0
40018371728;-105254526077;15922542;1;14;0.0078;0.0055;0.0122;-0.0015;-0.0015;-0.0008;0.99;34.1
40018371352;-105254543474;15922531;1;14;0.0084;0.0063;0.0124;-0.0035;-0.0024;0.0018;1.19;41.5
40018371043;-105254561122;15922672;1;14;0.0084;0.0062;0.0125;-0.0031;-0.0024;0.0017;1.39;41.5
40018370720;-105254578736;15922725;1;14;0.0083;0.0060;0.0126;-0.0028;-0.0022;0.0014;1.59;41.5
40018370465;-105254596446;15922708;1;14;0.0084;0.0063;0.0123;-0.0035;-0.0024;0.0018;0.79;41.6
40018370099;-105254614221;15922858;1;14;0.0083;0.0061;0.0123;-0.0031;-0.0023;0.0017;0.99;41.7
