col1,col2
18:28.4,1943
18:28.4,1916
18:28.4,1905
18:28.4,1917
18:28.4,1937
18:28.4,1947
18:28.4,1965
18:28.4,1940
18:28.4,1949
18:28.4,1937
18:28.4,1931
18:28.4,1929
18:28.4,1927
18:28.4,1936
18:28.4,1925
18:28.4,1924
18:28.4,1933
18:28.4,1943
18:28.4,1927
18:28.4,1913
18:28.4,1906
18:28.4,1923
18:28.4,1922
18:28.4,1901
18:28.4,1888
18:28.4,1870
18:28.4,1879
18:28.4,1915
18:28.4,1913
18:28.4,1924
18:28.4,1948
18:28.4,1948
18:28.4,1934
18:28.4,1898
18:28.4,1874
18:28.4,1858
18:28.4,1836
18:28.4,1823
18:28.4,1847
18:28.4,1863
18:28.4,1889
18:28.5,1915
18:28.5,1929
18:28.5,1961
18:28.5,2010
18:28.5,2023
18:28.5,2006
18:28.5,1990
18:28.5,1958
18:28.5,1934
18:28.5,1929
18:28.5,1954
18:28.5,1939
18:28.5,1931
18:28.5,1927
18:28.5,1931
18:28.5,1923
18:28.5,1929
18:28.5,1945
18:28.5,1947
18:28.5,1939
18:28.5,1937
18:28.5,1941
18:28.5,1950
18:28.5,1940
18:28.5,1942
18:28.5,1956
18:28.5,1976
18:28.5,1981
18:28.5,1937
18:28.5,1942
18:28.5,1939
18:28.5,1934
18:28.5,1939
18:28.5,1936
18:28.5,1938
18:28.5,1931
18:28.5,1933
18:28.5,1932
18:28.5,1931
18:28.5,1933
18:28.5,1934
18:28.5,1932
18:28.5,1927
18:28.5,1917
18:28.5,1896
18:28.5,1867
18:28.5,1850
18:28.5,1848
18:28.5,1857
18:28.5,1869
18:28.5,1899
18:28.5,1925
18:28.6,1934
18:28.6,1956
18:28.6,1976
18:28.6,2023
18:28.6,2060
18:28.6,2070
18:28.6,2041
18:28.6,1964
18:28.6,1937
18:28.6,1915
18:28.6,1905
18:28.6,1909
18:28.6,1896
18:28.6,1911
18:28.6,1916
18:28.6,1886
18:28.6,1874
18:28.6,1874
18:28.6,1860
18:28.6,1900
18:28.6,1930
18:28.6,1965
18:28.6,1972
18:28.6,1982
18:28.6,1969
18:28.6,1958
18:28.6,1971
18:28.6,1982
18:28.6,1943
18:28.6,1930
18:28.6,1930
18:28.6,1922
18:28.6,1935
18:28.6,1939
18:28.6,1931
18:28.6,1934
18:28.6,1935
18:28.6,1915
18:28.6,1883
18:28.6,1859
18:28.6,1870
18:28.6,1900
18:28.6,1906
18:28.6,1928
18:28.6,1928
18:28.6,1934
18:28.6,1930
18:28.6,1921
18:28.6,1920
18:28.6,1915
18:28.6,1901
18:28.7,1876
18:28.7,1848
18:28.7,1858
18:28.7,1849
18:28.7,1860
18:28.7,1906
18:28.7,1941
18:28.7,1966
18:28.7,1968
18:28.7,1986
18:28.7,2025
18:28.7,2010
18:28.7,1960
18:28.7,1938
18:28.7,1943
18:28.7,1956
18:28.7,1967
18:28.7,1973
18:28.7,1955
18:28.7,1937
18:28.7,1921
18:28.7,1930
18:28.7,1934
18:28.7,1957
18:28.7,1973
18:28.7,1947
18:28.7,1925
18:28.7,1934
18:28.7,1925
18:28.7,1936
18:28.7,1932
18:28.7,1925
18:28.7,1947
18:28.7,2024
18:28.7,2064
18:28.7,2007
18:28.7,1977
18:28.7,1963
18:28.7,1976
18:28.7,1992
18:28.7,1993
18:28.7,1978
18:28.7,1964
18:28.7,1964
18:28.7,1967
18:28.7,1963
18:28.7,1966
18:28.7,1959
18:28.7,1941
18:28.7,1935
18:28.7,1928
18:28.8,1921
18:28.8,1913
18:28.8,1916
18:28.8,1920
18:28.8,1916
18:28.8,1897
18:28.8,1907
18:28.8,1908
18:28.8,1917
18:28.8,1914
18:28.8,1910
18:28.8,1901
18:28.8,1899
18:28.8,1882
18:28.8,1888
18:28.8,1884
18:28.8,1868
18:28.8,1832
18:28.8,1859
18:28.8,1873
18:28.8,1888
18:28.8,1866
18:28.8,1936
18:28.8,2065
18:28.8,2130
18:28.8,2026
18:28.8,1919
18:28.8,1910
18:28.8,1979
18:28.8,2031
18:28.8,2012
18:28.8,1948
18:28.8,1891
18:28.8,1891
18:28.8,1910
18:28.8,1923
18:28.8,1928
18:28.8,1920
18:28.8,1920
18:28.8,1917
18:28.8,1917
18:28.8,1931
18:28.8,1950
18:28.8,2016
18:28.8,2045
18:28.8,1954
18:28.8,1912
18:28.8,1921
18:28.8,1956
18:28.8,1987
18:28.8,1969
18:28.8,1933
18:28.9,1901
18:28.9,1927
18:28.9,1927
18:28.9,1924
18:28.9,1910
18:28.9,1941
18:28.9,1943
18:28.9,1957
18:28.9,1977
18:28.9,1958
18:28.9,1909
18:28.9,1892
18:28.9,1890
18:28.9,1889
18:28.9,1894
18:28.9,1872
18:28.9,1867
18:28.9,1867
18:28.9,1903
18:28.9,1959
18:28.9,2005
18:28.9,2057
18:28.9,2108
18:28.9,2102
18:28.9,2012
18:28.9,1967
18:28.9,1975
18:28.9,1983
18:28.9,1958
18:28.9,1938
18:28.9,1951
18:28.9,1974
18:28.9,1984
18:28.9,1975
18:28.9,1936
18:28.9,1891
18:28.9,1881
18:28.9,1908
18:28.9,1924
18:28.9,1939
18:28.9,1949
18:28.9,1985
18:28.9,1994
18:28.9,1985
18:28.9,1959
18:28.9,1968
18:28.9,1966
18:28.9,1911
18:28.9,1855
18:28.9,1836
18:28.9,1852
18:29.0,1860
18:29.0,1844
18:29.0,1828
18:29.0,1831
18:29.0,1846
18:29.0,1855
18:29.0,1874
18:29.0,1887
18:29.0,1896
18:29.0,1926
18:29.0,1941
18:29.0,1911
18:29.0,1907
18:29.0,1906
18:29.0,1883
18:29.0,1874
18:29.0,1864
18:29.0,1929
18:29.0,1906
18:29.0,1886
18:29.0,1895
18:29.0,1903
18:29.0,1956
18:29.0,1948
18:29.0,1858
18:29.0,1866
18:29.0,1883
18:29.0,1897
18:29.0,1902
18:29.0,1889
18:29.0,1890
18:29.0,1883
18:29.0,1888
18:29.0,1892
18:29.0,1905
18:29.0,1906
18:29.0,1895
18:29.0,1900
18:29.0,1911
18:29.0,1892
18:29.0,1815
18:29.0,1713
18:29.0,1656
18:29.0,1709
18:29.0,1803
18:29.0,1835
18:29.0,1841
18:29.0,1835
18:29.0,1839
18:29.0,1863
18:29.0,1896
18:29.1,1906
18:29.1,1909
18:29.1,1919
18:29.1,1907
18:29.1,1898
18:29.1,1890
18:29.1,1886
18:29.1,1884
